image,category,tags
25877.jpg,Bag,"['Backpack', 'casual', 'purple']"
13697.jpg,Bag,"['black', 'Backpack', 'white']"
39483.jpg,Bag,"['Backpack', 'grey']"
7061.jpg,Bag,"['black', 'Backpack', 'waterproof']"
6559.jpg,Bag,"['sporty', 'pink', 'Backpack']"
8229.jpg,Bag,"['black', 'Backpack']"
4688.jpg,Bag,"['Backpack', 'blue', 'white']"
38745.jpg,Bag,"['yellow', 'grey', 'black', 'Backpack', 'white']"
20938.jpg,Bag,"['black', 'Backpack', 'casual']"
39509.jpg,Bag,"['black', 'Backpack']"
7097.jpg,Bag,"['Backpack', 'blue', 'grey']"
32868.jpg,Bag,"['Backpack', 'red', 'grey']"
6550.jpg,Bag,"['Backpack', 'grey']"
38322.jpg,Bag,"['black', 'sporty', 'Backpack', 'grey']"
37681.jpg,Bag,"['Backpack', 'red']"
53373.jpg,Bag,"['black', 'Backpack']"
43285.jpg,Bag,"['black', 'Backpack']"
19317.jpg,Bag,"['black', 'sporty', 'Backpack', 'grey']"
24325.jpg,Bag,"['blue', 'casual', 'Backpack']"
4583.jpg,Bag,"['black', 'Backpack', 'grey']"
25879.jpg,Bag,"['black', 'Backpack']"
7060.jpg,Bag,"['black', 'Backpack', 'formal']"
35211.jpg,Bag,"['Backpack', 'blue', 'grey']"
4678.jpg,Bag,"['black', 'Backpack', 'red']"
53362.jpg,Bag,"['black', 'Backpack']"
6555.jpg,Bag,"['sporty', 'Backpack', 'grey']"
22681.jpg,Bag,"['black', 'Backpack']"
8376.jpg,Bag,"['black', 'orange', 'Backpack', 'casual']"
29004.jpg,Bag,"['black', 'Backpack', 'casual']"
7111.jpg,Bag,"['black', 'Backpack']"
9581.jpg,Bag,"['Backpack', 'formal', 'grey']"
7091.jpg,Bag,"['black', 'Backpack', 'grey']"
41848.jpg,Bag,"['black', 'orange', 'Backpack', 'casual']"
22654.jpg,Bag,"['black', 'Backpack']"
18008.jpg,Bag,"['black', 'Backpack', 'formal']"
18439.jpg,Bag,"['black', 'Backpack', 'formal', 'grey']"
22968.jpg,Bag,"['Backpack', 'casual', 'green']"
25865.jpg,Bag,"['Backpack', 'blue']"
8352.jpg,Bag,"['black', 'Backpack']"
4607.jpg,Bag,"['Backpack', 'blue']"
22362.jpg,Bag,"['black', 'Backpack', 'grey']"
19905.jpg,Bag,"['black', 'Backpack', 'blue']"
4586.jpg,Bag,"['Backpack', 'red']"
25256.jpg,Bag,"['orange', 'Backpack']"
38760.jpg,Bag,"['black', 'Backpack']"
4609.jpg,Bag,"['black', 'Backpack', 'blue']"
29073.jpg,Bag,"['black', 'Backpack', 'blue', 'casual']"
51318.jpg,Bag,"['Backpack', 'blue', 'grey']"
5228.jpg,Bag,"['summer', 'blue', 'waterproof', 'black', 'Backpack']"
7854.jpg,Bag,"['pink', 'formal', 'black', 'Backpack', 'white']"
8522.jpg,Bag,"['black', 'sporty', 'Backpack', 'waterproof']"
1646.jpg,Bag,"['summer', 'Backpack', 'grey']"
7077.jpg,Bag,"['Backpack', 'red', 'grey']"
22672.jpg,Bag,"['Backpack', 'grey']"
